Channel,Packet Number,Time Sent,Time Received,RTT Unreliable,Time ACK Received,RTT Reliable
0,702,3821191836,Unknown,NA,3821191846,10
1,704,3821191849,3821191853,4,0,0
1,705,3821191851,3821191856,5,0,0
0,706,3821191853,Unknown,NA,3821191862,9
1,710,3821191859,3821191866,7,0,0
0,707,3821191854,Unknown,NA,3821191867,13
0,708,3821191856,Unknown,NA,3821191874,18
1,713,3821191871,3821191875,4,0,0
0,709,3821191857,Unknown,NA,3821191879,22
0,711,3821191860,Unknown,NA,3821191884,24
1,715,3821191881,3821191885,4,0,0
0,712,3821191865,Unknown,NA,3821191888,23
0,714,3821191876,Unknown,NA,3821191893,17
0,716,3821191886,Unknown,NA,3821191898,12
1,718,3821191895,3821191899,4,0,0
0,717,3821191891,Unknown,NA,3821191902,11
0,719,3821191900,Unknown,NA,3821191906,6
1,720,3821191908,3821191912,4,0,0
1,721,3821191910,3821191915,5,0,0
1,723,3821191913,3821191921,8,0,0
0,722,3821191912,Unknown,NA,3821191922,10
1,724,3821191915,3821191924,9,0,0
1,726,3821191918,3821191930,12,0,0
0,725,3821191916,Unknown,NA,3821191931,15
1,727,3821191920,3821191933,13,0,0
1,728,3821191925,3821191937,12,0,0
1,730,3821191929,3821191942,13,0,0
0,729,3821191927,Unknown,NA,3821191942,15
1,731,3821191934,3821191944,10,0,0
1,733,3821191937,3821191950,13,0,0
0,732,3821191936,Unknown,NA,3821191950,14
0,734,3821191939,Unknown,NA,3821191955,16
1,735,3821191957,3821191960,3,0,0
0,736,3821191958,Unknown,NA,3821191969,11
1,740,3821191965,3821191973,8,0,0
0,737,3821191960,Unknown,NA,3821191973,13
0,738,3821191962,Unknown,NA,3821191978,16
1,743,3821191976,3821191980,4,0,0
0,739,3821191963,Unknown,NA,3821191984,21
0,741,3821191967,Unknown,NA,3821191988,21
0,742,3821191971,Unknown,NA,3821191991,20
0,744,3821191982,Unknown,NA,3821191994,12
1,745,3821191997,3821192000,3,0,0
0,746,3821191999,Unknown,NA,3821192007,8
0,747,3821192000,Unknown,NA,3821192012,12
0,748,3821192002,Unknown,NA,3821192017,15
1,752,3821192015,3821192018,3,0,0
0,749,3821192003,Unknown,NA,3821192022,19
0,750,3821192005,Unknown,NA,3821192027,22
0,751,3821192010,Unknown,NA,3821192031,21
0,753,3821192020,Unknown,NA,3821192036,16
0,754,3821192024,Unknown,NA,3821192039,15
0,755,3821192029,Unknown,NA,3821192043,14
0,756,3821192034,Unknown,NA,3821192046,12
1,757,3821192048,3821192051,3,0,0
1,759,3821192051,3821192057,6,0,0
0,758,3821192050,Unknown,NA,3821192058,8
1,761,3821192055,3821192062,7,0,0
1,762,3821192056,3821192065,9,0,0
0,760,3821192053,Unknown,NA,3821192065,12
0,763,3821192062,Unknown,NA,3821192071,9
1,764,3821192069,3821192072,3,0,0
1,765,3821192074,3821192077,3,0,0
0,766,3821192076,Unknown,NA,3821192083,7
1,768,3821192079,3821192084,5,0,0
0,767,3821192077,Unknown,NA,3821192087,10
1,770,3821192085,3821192089,4,0,0
0,769,3821192081,Unknown,NA,3821192092,11
1,771,3821192090,3821192094,4,0,0
1,772,3821192095,3821192099,4,0,0
0,773,3821192097,Unknown,NA,3821192106,9
1,775,3821192100,3821192106,6,0,0
0,774,3821192098,Unknown,NA,3821192110,12
1,777,3821192103,3821192111,8,0,0
0,776,3821192102,Unknown,NA,3821192115,13
0,778,3821192108,Unknown,NA,3821192120,12
0,779,3821192113,Unknown,NA,3821192125,12
1,781,3821192123,3821192126,3,0,0
0,780,3821192118,Unknown,NA,3821192130,12
1,782,3821192128,3821192131,3,0,0
1,783,3821192132,3821192135,3,0,0
0,784,3821192133,Unknown,NA,3821192141,8
1,786,3821192136,3821192142,6,0,0
0,785,3821192135,Unknown,NA,3821192147,12
1,788,3821192139,3821192147,8,0,0
1,789,3821192144,3821192151,7,0,0
0,787,3821192138,Unknown,NA,3821192152,14
0,790,3821192149,Unknown,NA,3821192156,7
1,791,3821192154,3821192157,3,0,0
0,792,3821192158,Unknown,NA,3821192164,6
1,794,3821192162,3821192164,2,0,0
0,793,3821192160,Unknown,NA,3821192167,7
1,795,3821192165,3821192168,3,0,0
1,796,3821192169,3821192172,3,0,0
1,797,3821192171,3821192175,4,0,0
1,798,3821192172,3821192178,6,0,0
0,799,3821192173,Unknown,NA,3821192183,10
1,802,3821192178,3821192186,8,0,0
0,800,3821192175,Unknown,NA,3821192188,13
1,804,3821192185,3821192192,7,0,0
0,801,3821192176,Unknown,NA,3821192193,17
1,805,3821192191,3821192195,4,0,0
0,803,3821192180,Unknown,NA,3821192198,18
0,806,3821192196,Unknown,NA,3821192203,7
1,807,3821192201,3821192203,2,0,0
1,809,3821192206,3821192209,3,0,0
0,808,3821192205,Unknown,NA,3821192209,4
0,810,3821192208,Unknown,NA,3821192214,6
0,811,3821192212,Unknown,NA,3821192219,7
0,812,3821192217,Unknown,NA,3821192222,5
