Channel,Packet Number,Time Sent,Time Received,RTT Unreliable,Time ACK Received,RTT Reliable
1,219,3821190148,3821190152,4,0,0
0,218,3821190146,Unknown,NA,3821190154,8
0,220,3821190150,Unknown,NA,3821190159,9
0,221,3821190152,Unknown,NA,3821190164,12
1,223,3821190162,3821190166,4,0,0
0,222,3821190157,Unknown,NA,3821190169,12
0,224,3821190167,Unknown,NA,3821190175,8
1,225,3821190172,3821190176,4,0,0
1,226,3821190178,3821190181,3,0,0
1,228,3821190182,3821190186,4,0,0
0,227,3821190180,Unknown,NA,3821190187,7
1,230,3821190185,3821190192,7,0,0
0,229,3821190183,Unknown,NA,3821190193,10
0,231,3821190190,Unknown,NA,3821190198,8
0,232,3821190196,Unknown,NA,3821190203,7
1,233,3821190201,3821190204,3,0,0
1,234,3821190205,3821190209,4,0,0
1,236,3821190209,3821190215,6,0,0
0,235,3821190207,Unknown,NA,3821190217,10
1,239,3821190214,3821190223,9,0,0
0,237,3821190211,Unknown,NA,3821190223,12
0,238,3821190212,Unknown,NA,3821190230,18
1,241,3821190227,3821190231,4,0,0
0,240,3821190220,Unknown,NA,3821190235,15
0,242,3821190232,Unknown,NA,3821190240,8
0,243,3821190238,Unknown,NA,3821190245,7
1,244,3821190243,3821190247,4,0,0
1,246,3821190250,3821190254,4,0,0
0,245,3821190248,Unknown,NA,3821190255,7
1,247,3821190252,3821190257,5,0,0
1,248,3821190258,3821190263,5,0,0
1,249,3821190259,3821190267,8,0,0
1,251,3821190263,3821190273,10,0,0
0,250,3821190261,Unknown,NA,3821190274,13
1,252,3821190265,3821190276,11,0,0
0,253,3821190266,Unknown,NA,3821190286,20
1,255,3821190270,3821190286,16,0,0
0,254,3821190268,Unknown,NA,3821190290,22
1,256,3821190272,3821190290,18,0,0
1,257,3821190277,3821190295,18,0,0
1,258,3821190279,3821190299,20,0,0
1,259,3821190281,3821190303,22,0,0
0,260,3821190283,Unknown,NA,3821190310,27
1,263,3821190295,3821190313,18,0,0
0,261,3821190288,Unknown,NA,3821190316,28
1,264,3821190297,3821190317,20,0,0
0,262,3821190293,Unknown,NA,3821190321,28
1,266,3821190300,3821190323,23,0,0
0,265,3821190298,Unknown,NA,3821190326,28
1,267,3821190302,3821190328,26,0,0
1,269,3821190306,3821190334,28,0,0
0,268,3821190304,Unknown,NA,3821190335,31
1,271,3821190313,3821190340,27,0,0
0,270,3821190308,Unknown,NA,3821190340,32
1,272,3821190318,3821190343,25,0,0
1,273,3821190324,3821190347,23,0,0
1,275,3821190345,3821190352,7,0,0
0,274,3821190343,Unknown,NA,3821190354,11
1,277,3821190349,3821190359,10,0,0
0,276,3821190347,Unknown,NA,3821190360,13
1,279,3821190357,3821190364,7,0,0
0,278,3821190351,Unknown,NA,3821190365,14
0,280,3821190368,Unknown,NA,3821190374,6
0,281,3821190370,Unknown,NA,3821190379,9
1,283,3821190377,3821190381,4,0,0
0,282,3821190372,Unknown,NA,3821190384,12
0,284,3821190382,Unknown,NA,3821190390,8
0,285,3821190387,Unknown,NA,3821190395,8
1,286,3821190392,3821190396,4,0,0
0,287,3821190398,Unknown,NA,3821190406,8
1,289,3821190401,3821190406,5,0,0
0,288,3821190400,Unknown,NA,3821190411,11
1,291,3821190408,3821190412,4,0,0
0,290,3821190403,Unknown,NA,3821190416,13
0,292,3821190414,Unknown,NA,3821190422,8
0,293,3821190419,Unknown,NA,3821190427,8
0,294,3821190430,Unknown,NA,3821190439,9
1,296,3821190434,3821190439,5,0,0
0,295,3821190432,Unknown,NA,3821190443,11
0,297,3821190436,Unknown,NA,3821190449,13
1,299,3821190446,3821190449,3,0,0
0,298,3821190441,Unknown,NA,3821190453,12
1,300,3821190451,3821190455,4,0,0
1,301,3821190456,3821190460,4,0,0
1,302,3821190458,3821190464,6,0,0
0,303,3821190459,Unknown,NA,3821190471,12
1,306,3821190465,3821190477,12,0,0
0,304,3821190461,Unknown,NA,3821190477,16
0,305,3821190463,Unknown,NA,3821190482,19
1,309,3821190474,3821190484,10,0,0
0,307,3821190467,Unknown,NA,3821190487,20
1,311,3821190485,3821190492,7,0,0
0,308,3821190468,Unknown,NA,3821190493,25
1,312,3821190491,3821190496,5,0,0
0,310,3821190480,Unknown,NA,3821190498,18
1,313,3821190496,3821190500,4,0,0
1,314,3821190501,3821190504,3,0,0
0,315,3821190503,Unknown,NA,3821190512,9
1,317,3821190506,3821190512,6,0,0
0,316,3821190505,Unknown,NA,3821190517,12
1,318,3821190508,3821190518,10,0,0
1,320,3821190515,3821190524,9,0,0
0,319,3821190510,Unknown,NA,3821190526,16
1,322,3821190522,3821190531,9,0,0
0,321,3821190520,Unknown,NA,3821190532,12
1,324,3821190530,3821190536,6,0,0
0,323,3821190523,Unknown,NA,3821190537,14
1,325,3821190535,3821190540,5,0,0
1,327,3821190543,3821190548,5,0,0
0,326,3821190541,Unknown,NA,3821190549,8
0,328,3821190545,Unknown,NA,3821190557,12
1,330,3821190553,3821190558,5,0,0
0,329,3821190547,Unknown,NA,3821190563,16
0,331,3821190560,Unknown,NA,3821190567,7
1,333,3821190573,3821190576,3,0,0
0,332,3821190571,Unknown,NA,3821190577,6
0,334,3821190575,Unknown,NA,3821190583,8
1,335,3821190581,3821190584,3,0,0
1,336,3821190586,3821190590,4,0,0
1,337,3821190588,3821190593,5,0,0
1,338,3821190590,3821190597,7,0,0
0,339,3821190592,Unknown,NA,3821190604,12
1,343,3821190600,3821190609,9,0,0
0,340,3821190594,Unknown,NA,3821190609,15
1,345,3821190607,3821190614,7,0,0
0,341,3821190595,Unknown,NA,3821190616,21
0,342,3821190598,Unknown,NA,3821190622,24
0,344,3821190602,Unknown,NA,3821190628,26
1,348,3821190625,3821190629,4,0,0
0,346,3821190613,Unknown,NA,3821190633,20
0,347,3821190620,Unknown,NA,3821190638,18
1,350,3821190636,3821190640,4,0,0
0,349,3821190630,Unknown,NA,3821190643,13
0,351,3821190641,Unknown,NA,3821190649,8
1,352,3821190647,3821190651,4,0,0
1,354,3821190654,3821190658,4,0,0
0,353,3821190652,Unknown,NA,3821190658,6
0,355,3821190656,Unknown,NA,3821190664,8
1,356,3821190661,3821190664,3,0,0
1,358,3821190667,3821190671,4,0,0
0,357,3821190666,Unknown,NA,3821190673,7
1,360,3821190671,3821190677,6,0,0
0,359,3821190669,Unknown,NA,3821190678,9
0,361,3821190676,Unknown,NA,3821190684,8
0,362,3821190682,Unknown,NA,3821190689,7
1,363,3821190687,3821190690,3,0,0
0,364,3821190692,Unknown,NA,3821190699,7
0,365,3821190693,Unknown,NA,3821190704,11
0,366,3821190695,Unknown,NA,3821190709,14
0,367,3821190697,Unknown,NA,3821190714,17
1,370,3821190712,3821190716,4,0,0
0,368,3821190702,Unknown,NA,3821190719,17
1,371,3821190717,3821190721,4,0,0
0,369,3821190707,Unknown,NA,3821190724,17
0,372,3821190722,Unknown,NA,3821190730,8
1,373,3821190727,3821190731,4,0,0
1,374,3821190734,3821190739,5,0,0
1,375,3821190737,3821190743,6,0,0
1,377,3821190740,3821190750,10,0,0
0,376,3821190739,Unknown,NA,3821190751,12
0,378,3821190742,Unknown,NA,3821190758,16
1,381,3821190747,3821190759,12,0,0
0,379,3821190744,Unknown,NA,3821190763,19
1,383,3821190755,3821190766,11,0,0
0,380,3821190745,Unknown,NA,3821190768,23
1,384,3821190761,3821190771,10,0,0
0,382,3821190749,Unknown,NA,3821190775,26
0,385,3821190766,Unknown,NA,3821190781,15
1,387,3821190778,3821190782,4,0,0
0,386,3821190772,Unknown,NA,3821190786,14
1,388,3821190784,3821190787,3,0,0
1,390,3821190791,3821190797,6,0,0
0,389,3821190789,Unknown,NA,3821190798,9
1,392,3821190794,3821190803,9,0,0
0,391,3821190792,Unknown,NA,3821190805,13
1,393,3821190795,3821190807,12,0,0
1,395,3821190802,3821190813,11,0,0
0,394,3821190801,Unknown,NA,3821190814,13
1,396,3821190808,3821190817,9,0,0
0,397,3821190818,Unknown,NA,3821190825,7
1,399,3821190823,3821190826,3,0,0
0,398,3821190821,Unknown,NA,3821190831,10
1,400,3821190828,3821190832,4,0,0
0,401,3821190834,Unknown,NA,3821190840,6
1,403,3821190837,3821190841,4,0,0
0,402,3821190836,Unknown,NA,3821190845,9
1,404,3821190843,3821190847,4,0,0
1,405,3821190848,3821190852,4,0,0
1,406,3821190850,3821190856,6,0,0
0,407,3821190852,Unknown,NA,3821190863,11
1,409,3821190856,3821190863,7,0,0
1,410,3821190857,3821190867,10,0,0
0,408,3821190854,Unknown,NA,3821190868,14
1,411,3821190859,3821190870,11,0,0
0,412,3821190861,Unknown,NA,3821190876,15
1,414,3821190870,3821190877,7,0,0
1,415,3821190872,3821190881,9,0,0
0,413,3821190865,Unknown,NA,3821190881,16
1,416,3821190874,3821190884,10,0,0
1,417,3821190878,3821190888,10,0,0
1,418,3821190884,3821190892,8,0,0
1,420,3821190887,3821190898,11,0,0
0,419,3821190886,Unknown,NA,3821190898,12
1,423,3821190894,3821190904,10,0,0
0,421,3821190889,Unknown,NA,3821190906,17
1,424,3821190896,3821190908,12,0,0
1,425,3821190904,3821190911,7,0,0
0,422,3821190891,Unknown,NA,3821190911,20
1,426,3821190909,3821190914,5,0,0
1,429,3821190917,3821190921,4,0,0
0,427,3821190914,Unknown,NA,3821190921,7
0,428,3821190916,Unknown,NA,3821190927,11
0,430,3821190919,Unknown,NA,3821190932,13
0,431,3821190924,Unknown,NA,3821190936,12
1,433,3821190934,3821190938,4,0,0
0,432,3821190929,Unknown,NA,3821190941,12
1,434,3821190939,3821190942,3,0,0
0,435,3821190943,Unknown,NA,3821190949,6
1,437,3821190947,3821190950,3,0,0
0,436,3821190945,Unknown,NA,3821190954,9
0,438,3821190952,Unknown,NA,3821190959,7
0,439,3821190956,Unknown,NA,3821190963,7
1,440,3821190961,3821190965,4,0,0
0,441,3821190966,Unknown,NA,3821190972,6
1,443,3821190970,3821190973,3,0,0
0,442,3821190968,Unknown,NA,3821190977,9
1,444,3821190974,3821190978,4,0,0
